iter	Passed	Remaining
0	1	553
1	3	477
2	4	440
3	5	433
4	7	434
5	9	444
6	10	450
7	11	435
8	13	444
9	16	472
10	18	475
11	19	476
12	22	507
13	24	500
14	25	490
15	26	478
16	28	468
17	29	457
18	30	449
19	31	446
20	33	445
21	34	439
22	36	434
23	37	428
24	38	422
25	39	419
26	41	416
27	42	417
28	44	412
29	45	412
30	47	412
31	49	415
32	50	410
33	52	413
34	55	419
35	57	419
36	59	425
37	61	421
38	63	422
39	64	420
40	66	416
41	67	416
42	68	411
43	70	408
44	71	403
45	72	400
46	74	399
47	76	400
48	77	399
49	78	394
50	80	391
51	83	400
52	85	399
53	88	404
54	92	411
55	94	412
56	96	410
57	97	407
58	99	407
59	101	407
60	105	412
61	107	413
62	110	415
63	114	421
64	116	422
65	120	426
66	128	447
67	135	462
68	137	461
69	139	459
70	141	456
71	143	453
72	144	450
73	145	445
74	147	443
75	149	439
76	150	435
77	153	435
78	154	431
79	157	432
80	158	427
81	159	423
82	160	420
83	162	417
84	163	414
85	165	412
86	166	408
87	168	406
88	170	403
89	171	400
90	172	396
91	175	397
92	176	393
93	178	390
94	181	390
95	183	390
96	187	393
97	191	394
98	192	390
99	196	393
100	198	390
101	199	386
102	200	383
103	202	381
104	206	384
105	210	385
106	216	389
107	220	392
108	221	388
109	222	385
110	224	381
111	226	379
112	227	376
113	229	373
114	230	370
115	231	367
116	233	364
117	234	361
118	235	358
119	236	355
120	237	351
121	238	348
122	239	345
123	241	342
124	242	338
125	243	335
126	244	332
127	245	329
128	246	327
129	248	324
130	249	321
131	250	318
132	251	315
133	252	312
134	253	309
135	254	306
136	255	304
137	257	301
138	259	300
139	261	298
140	262	295
141	263	293
142	264	290
143	265	287
144	267	285
145	268	283
146	270	281
147	271	279
148	272	276
149	274	274
150	276	272
151	277	270
152	280	269
153	282	267
154	283	265
155	285	263
156	286	261
157	287	258
158	289	256
159	291	255
160	294	254
161	296	252
162	299	251
163	301	249
164	303	248
165	305	246
166	306	244
167	309	243
168	313	242
169	318	243
170	321	242
171	325	242
172	328	241
173	335	242
174	338	241
175	340	240
176	343	238
177	346	237
178	347	234
179	351	234
180	355	233
181	356	231
182	358	229
183	359	226
184	363	225
185	364	223
186	366	221
187	367	218
188	368	216
189	369	213
190	370	211
191	371	209
192	373	206
193	374	204
194	375	202
195	376	199
196	377	197
197	378	194
198	379	192
199	380	190
200	381	187
201	382	185
202	383	183
203	384	180
204	385	178
205	386	176
206	387	174
207	388	171
208	389	169
209	390	167
210	391	164
211	392	162
212	393	160
213	394	158
214	395	156
215	396	154
216	397	151
217	398	149
218	398	147
219	399	145
220	400	143
221	401	141
222	403	139
223	404	137
224	405	135
225	405	132
226	406	130
227	407	128
228	408	126
229	409	124
230	410	122
231	411	120
232	412	118
233	413	116
234	414	114
235	415	112
236	416	110
237	417	108
238	418	106
239	420	105
240	421	103
241	422	101
242	423	99
243	423	97
244	424	95
245	425	93
246	426	91
247	427	89
248	428	87
249	429	85
250	430	83
251	431	82
252	432	80
253	433	78
254	434	76
255	435	74
256	437	73
257	438	71
258	439	69
259	441	67
260	443	66
261	444	64
262	445	62
263	446	60
264	447	59
265	448	57
266	449	55
267	450	53
268	451	52
269	452	50
270	453	48
271	454	46
272	456	45
273	457	43
274	458	41
275	459	39
276	460	38
277	461	36
278	462	34
279	463	33
280	464	31
281	465	29
282	466	28
283	467	26
284	468	24
285	469	22
286	470	21
287	471	19
288	472	17
289	473	16
290	474	14
291	476	13
292	476	11
293	477	9
294	478	8
295	479	6
296	481	4
297	482	3
298	483	1
299	484	0
